Date,Open,High,Low,Close,Adj Close,Volume,ticker
2020-01-02,44.01515197753906,44.08143997192383,43.0113639831543,43.10606002807617,35.76529312133789,3449002,IP
2020-01-03,42.45265197753906,42.67045593261719,42.32954406738281,42.34848403930664,35.13672637939453,2994605,IP
2020-01-06,42.17802810668945,42.32007598876953,41.54356002807617,41.61931610107422,34.531742095947266,3214570,IP
2020-01-07,41.35416793823242,41.439395904541016,40.95643997192383,41.17424011230469,34.16245651245117,3498950,IP
2020-01-08,41.24052810668945,41.90340805053711,41.164772033691406,41.657196044921875,34.56316375732422,2657846,IP
2020-01-09,41.780303955078125,42.03598403930664,41.53409194946289,41.77083206176758,34.65745544433594,1868698,IP
2020-01-10,41.77083206176758,42.102272033691406,41.600379943847656,41.657196044921875,34.56316375732422,1896682,IP
2020-01-13,41.808712005615234,42.23484802246094,41.647727966308594,42.08333206176758,34.91673278808594,2888054,IP
2020-01-14,41.95075988769531,42.272727966308594,41.912879943847656,42.064395904541016,34.90102767944336,2121610,IP
2020-01-15,41.960227966308594,42.3011360168457,41.70454406738281,42.14015197753906,34.9638786315918,1393498,IP
2020-01-16,42.33901596069336,42.98295593261719,42.23484802246094,42.94507598876953,35.63172912597656,3383213,IP
2020-01-17,43.058712005615234,43.522727966308594,42.97348403930664,43.3238639831543,35.94601058959961,2815930,IP
2020-01-21,42.19697189331055,42.462120056152344,41.51515197753906,42.17802810668945,34.99531173706055,3377299,IP
2020-01-22,42.26325988769531,42.51893997192383,42.064395904541016,42.149620056152344,34.97174072265625,1766688,IP
2020-01-23,41.90340805053711,42.462120056152344,41.467803955078125,42.29166793823242,35.08959197998047,1745146,IP
2020-01-24,42.19697189331055,42.272727966308594,41.01325988769531,41.22159194946289,34.20174026489258,2982038,IP
2020-01-27,40.49242401123047,40.75757598876953,40.13257598876953,40.32197189331055,33.45532989501953,3279830,IP
2020-01-28,40.710227966308594,40.7386360168457,40.30302810668945,40.57765197753906,33.6674690246582,2107248,IP
2020-01-29,40.77651596069336,41.50568389892578,40.67234802246094,41.07007598876953,34.07603454589844,3652387,IP
2020-01-30,40.47348403930664,40.88068389892578,39.16666793823242,39.95265197753906,33.148902893066406,4800682,IP
2020-01-31,39.53598403930664,39.66856002807617,37.91666793823242,38.560604095458984,31.99390983581543,6768115,IP
2020-02-03,38.82575988769531,39.337120056152344,38.57007598876953,39.0625,32.410343170166016,3767280,IP
2020-02-04,39.71590805053711,39.8863639831543,39.45075988769531,39.54545593261719,32.81105422973633,3450691,IP
2020-02-05,39.95265197753906,41.875,39.95265197753906,41.70454406738281,34.60245132446289,4779139,IP
2020-02-06,41.969696044921875,42.11174011230469,41.39204406738281,41.90340805053711,34.76744842529297,2967254,IP
2020-02-07,41.55302810668945,41.6761360168457,41.19318389892578,41.25,34.22531509399414,1931635,IP
2020-02-10,41.1363639831543,41.54356002807617,41.003787994384766,41.42045593261719,34.36674118041992,1715578,IP
2020-02-11,41.657196044921875,42.55681610107422,41.51515197753906,42.01704406738281,34.861732482910156,1862256,IP
2020-02-12,42.20643997192383,42.594696044921875,42.102272033691406,42.14015197753906,34.9638786315918,1862362,IP
2020-02-13,41.90340805053711,41.90340805053711,40.92802810668945,41.14583206176758,34.138885498046875,2334077,IP
2020-02-14,41.155303955078125,41.48674011230469,40.710227966308594,40.899620056152344,33.93459701538086,1874611,IP
2020-02-18,40.76704406738281,40.95643997192383,40.350379943847656,40.9375,33.966026306152344,1611139,IP
2020-02-19,40.9375,41.25,40.36931610107422,40.435604095458984,33.54960632324219,2591635,IP
2020-02-20,40.037879943847656,40.76704406738281,39.94318389892578,40.67234802246094,34.15639114379883,2332810,IP
2020-02-21,40.530303955078125,41.14583206176758,40.17992401123047,40.975379943847656,34.41087341308594,2834304,IP
2020-02-24,39.63068389892578,39.76325988769531,38.939395904541016,39.157196044921875,32.88397979736328,2736413,IP
2020-02-25,39.251895904541016,39.55492401123047,37.064395904541016,37.149620056152344,31.19802474975586,3976896,IP
2020-02-26,37.594696044921875,38.058712005615234,36.657196044921875,36.7613639831543,30.87196159362793,3759994,IP
2020-02-27,35.98484802246094,36.837120056152344,35.07575988769531,35.094696044921875,29.472312927246094,4395811,IP
2020-02-28,34.09090805053711,35.28409194946289,33.712120056152344,35.0,29.392789840698242,5275987,IP
2020-03-02,35.274620056152344,36.23106002807617,34.53598403930664,36.20265197753906,30.402774810791016,4860979,IP
2020-03-03,36.01325988769531,37.03598403930664,34.67802810668945,35.094696044921875,29.472312927246094,4086298,IP
2020-03-04,35.68181610107422,36.003787994384766,35.14204406738281,35.90909194946289,30.156240463256836,3699696,IP
2020-03-05,34.8011360168457,35.397727966308594,34.2613639831543,34.592803955078125,29.050825119018555,3185424,IP
2020-03-06,33.371212005615234,34.13825988769531,33.02083206176758,33.816287994384766,28.398714065551758,4276800,IP
2020-03-09,31.48674201965332,32.1875,30.104167938232422,30.56818199157715,25.670970916748047,4690541,IP
2020-03-10,31.912879943847656,32.433712005615234,30.56818199157715,32.35795593261719,27.17401695251465,4387046,IP
2020-03-11,31.25,31.448863983154297,29.810606002807617,30.520832061767578,25.631208419799805,4996570,IP
2020-03-12,28.67424201965332,29.270832061767578,27.092802047729492,27.10227394104004,22.760326385498047,5522774,IP
2020-03-13,28.787879943847656,31.685606002807617,27.746212005615234,31.666667938232422,26.593475341796875,6364829,IP
2020-03-16,27.253787994384766,31.59090805053711,26.704544067382812,28.143938064575195,23.63511085510254,5985408,IP
2020-03-17,28.816287994384766,31.751893997192383,27.52840805053711,31.714014053344727,26.633237838745117,6196502,IP
2020-03-18,28.97727394104004,31.704544067382812,28.267044067382812,29.308712005615234,24.613277435302734,4476595,IP
2020-03-19,29.128787994384766,29.375,27.547348022460938,28.532197952270508,23.961170196533203,3889987,IP
2020-03-20,28.541667938232422,29.526514053344727,27.47159194946289,27.94507598876953,23.468107223510742,5530272,IP
2020-03-23,27.395832061767578,28.143938064575195,24.981061935424805,25.066287994384766,21.050518035888672,7190726,IP
2020-03-24,26.5625,27.13068199157715,25.160985946655273,26.42992401123047,22.19569206237793,5229523,IP
2020-03-25,26.5625,28.892044067382812,25.22727394104004,27.27272605895996,22.90346908569336,6227549,IP
2020-03-26,27.623106002807617,29.801136016845703,27.47159194946289,29.365530014038086,24.66098976135254,4670160,IP
2020-03-27,28.418561935424805,29.905302047729492,27.99242401123047,28.996212005615234,24.350847244262695,4054090,IP
2020-03-30,29.015151977539062,29.876893997192383,28.49431800842285,29.668561935424805,24.915477752685547,3420384,IP
2020-03-31,29.43181800842285,29.94318199157715,28.598485946655273,29.479167938232422,24.756425857543945,4821696,IP
2020-04-01,28.106061935424805,29.45075798034668,27.72727394104004,28.551136016845703,23.97707176208496,4211539,IP
2020-04-02,28.285985946655273,29.734848022460938,28.267044067382812,28.863636016845703,24.2395076751709,3577411,IP
2020-04-03,28.560606002807617,29.34659194946289,27.613636016845703,27.8125,23.356769561767578,3943526,IP
2020-04-06,29.232955932617188,30.113636016845703,28.97727394104004,29.857955932617188,25.07453155517578,6407491,IP
2020-04-07,30.776514053344727,31.202651977539062,29.223485946655273,29.251893997192383,24.565567016601562,4479552,IP
2020-04-08,29.573863983154297,31.609848022460938,29.498106002807617,31.363636016845703,26.338991165161133,4347974,IP
2020-04-09,31.714014053344727,33.04924011230469,31.59090805053711,32.35795593261719,27.17401695251465,4388208,IP
2020-04-13,32.32007598876953,32.84090805053711,31.467802047729492,32.585227966308594,27.3648738861084,4050710,IP
