Open,High,Low,Close,Adj Close,Volume,ticker
583.9099731445312,584.9099731445312,576.030029296875,579.3499755859375,540.9240112304688,448500,EQIX
575.469970703125,590.3599853515625,575.469970703125,585.1199951171875,546.3113403320312,385200,EQIX
585.1300048828125,588.0,579.75,584.47998046875,545.7138061523438,284200,EQIX
584.469970703125,586.5,575.02001953125,581.8800048828125,543.2861938476562,252600,EQIX
583.0,586.1599731445312,575.010009765625,583.7999877929688,545.0789184570312,261000,EQIX
582.9500122070312,590.0,575.4099731445312,588.989990234375,549.9246215820312,229600,EQIX
593.3200073242188,595.77001953125,587.3200073242188,594.0,554.6023559570312,307900,EQIX
594.8900146484375,598.530029296875,592.260009765625,594.9600219726562,555.4987182617188,396300,EQIX
595.8099975585938,597.0,582.9299926757812,586.5,547.5997924804688,385400,EQIX
588.5599975585938,592.530029296875,585.0499877929688,586.239990234375,547.3570556640625,394300,EQIX
587.5499877929688,596.4000244140625,586.6099853515625,595.1199951171875,555.6480712890625,522100,EQIX
594.0,596.6900024414062,587.9000244140625,588.0,549.0003051757812,794200,EQIX
591.510009765625,594.5499877929688,583.9400024414062,590.0,550.8677368164062,680900,EQIX
595.3499755859375,599.1799926757812,590.7899780273438,591.530029296875,552.2962036132812,444100,EQIX
594.489990234375,603.7000122070312,592.5599975585938,596.010009765625,556.4790649414062,352200,EQIX
597.3699951171875,603.3499755859375,590.0399780273438,591.9600219726562,552.6976318359375,329000,EQIX
589.9099731445312,594.9600219726562,585.6099853515625,593.9500122070312,554.5556640625,233200,EQIX
595.989990234375,604.6699829101562,595.3900146484375,602.5700073242188,562.6038818359375,318100,EQIX
600.0599975585938,604.25,596.7899780273438,602.6799926757812,562.7066650390625,243200,EQIX
602.7000122070312,608.1099853515625,602.7000122070312,603.0,563.0054931640625,348400,EQIX
604.0700073242188,605.27001953125,587.3599853515625,589.72998046875,550.6156005859375,488700,EQIX
592.5599975585938,606.1400146484375,591.0499877929688,603.5999755859375,563.565673828125,445700,EQIX
608.0900268554688,609.469970703125,605.260009765625,607.8499755859375,567.5337524414062,325900,EQIX
608.489990234375,609.219970703125,600.0,601.260009765625,561.380859375,327400,EQIX
606.260009765625,607.8300170898438,594.5599975585938,603.72998046875,563.6870727539062,215000,EQIX
605.1400146484375,607.5499877929688,602.1300048828125,606.0,565.8065185546875,186900,EQIX
609.1900024414062,613.739990234375,607.0700073242188,612.030029296875,571.4364624023438,270300,EQIX
613.0999755859375,619.75,611.010009765625,613.5700073242188,572.8743286132812,345000,EQIX
616.22998046875,624.5800170898438,612.3300170898438,623.1400146484375,581.8096923828125,566400,EQIX
615.0999755859375,636.4299926757812,611.989990234375,635.75,593.583251953125,508300,EQIX
639.0900268554688,654.3200073242188,637.1900024414062,648.6500244140625,605.627685546875,438600,EQIX
644.1699829101562,649.989990234375,639.3499755859375,643.5900268554688,600.9033203125,427900,EQIX
648.1900024414062,650.1099853515625,641.4000244140625,643.719970703125,601.0245971679688,405000,EQIX
644.0,648.52001953125,639.2999877929688,648.3900146484375,605.385009765625,353600,EQIX
651.9600219726562,657.0,644.0999755859375,655.989990234375,612.4808349609375,604900,EQIX
648.1799926757812,654.4400024414062,637.6900024414062,644.9000244140625,602.1265258789062,543200,EQIX
643.0499877929688,645.9099731445312,627.5,631.97998046875,592.5072021484375,677700,EQIX
634.5499877929688,637.8300170898438,624.8800048828125,629.8400268554688,590.500732421875,414600,EQIX
623.9199829101562,630.72998046875,597.260009765625,597.489990234375,560.1713256835938,718200,EQIX
586.530029296875,589.9600219726562,563.5499877929688,572.7999877929688,537.0234375,1132000,EQIX
577.8800048828125,620.2899780273438,577.260009765625,618.8800048828125,580.2254028320312,757100,EQIX
621.719970703125,634.0399780273438,600.0,615.1599731445312,576.7377319335938,678800,EQIX
626.0,646.52001953125,621.9199829101562,645.489990234375,605.17333984375,586400,EQIX
629.02001953125,641.8300170898438,611.0499877929688,616.6699829101562,578.1533813476562,578100,EQIX
599.5900268554688,609.989990234375,582.52001953125,608.6699829101562,570.653076171875,826300,EQIX
571.0,601.9400024414062,570.1300048828125,574.0599975585938,538.204833984375,724500,EQIX
600.0,615.0399780273438,571.0499877929688,610.280029296875,572.1626586914062,706400,EQIX
591.6400146484375,604.97998046875,584.8900146484375,598.7999877929688,561.3995971679688,897900,EQIX
556.9099731445312,595.0,546.1500244140625,565.1300048828125,529.83251953125,1003900,EQIX
585.2899780273438,623.8400268554688,566.739990234375,621.0900268554688,582.2974243164062,1081100,EQIX
582.5900268554688,586.280029296875,530.0,542.4299926757812,508.5504455566406,1018900,EQIX
558.6199951171875,598.22998046875,554.719970703125,575.1799926757812,539.2548828125,1215500,EQIX
545.0,585.0399780273438,534.4400024414062,572.1400146484375,536.40478515625,1027900,EQIX
571.8900146484375,590.1099853515625,535.5499877929688,550.0,515.6476440429688,985200,EQIX
549.75,559.97998046875,493.20001220703125,506.5199890136719,474.88330078125,1230300,EQIX
505.0400085449219,506.0,477.8699951171875,489.1400146484375,458.58880615234375,882100,EQIX
509.8399963378906,552.9500122070312,496.6600036621094,545.8900146484375,511.7943115234375,914300,EQIX
535.7999877929688,593.6900024414062,535.3699951171875,553.9199829101562,519.3228759765625,723800,EQIX
559.530029296875,604.25,551.260009765625,587.5800170898438,550.8804931640625,754700,EQIX
573.52001953125,605.0,553.9000244140625,594.27001953125,557.152587890625,616200,EQIX
605.989990234375,649.0,594.02001953125,644.8699951171875,604.5921630859375,778600,EQIX
640.0,644.9299926757812,611.0599975585938,624.5700073242188,585.56005859375,1135000,EQIX
