Open,High,Low,Close,Adj Close,Volume,ticker
266.9200134277344,271.9800109863281,265.6499938964844,271.79998779296875,270.50433349609375,388700,PAYC
269.489990234375,273.67999267578125,268.1099853515625,272.7099914550781,271.40997314453125,343200,PAYC
267.8999938964844,278.20001220703125,267.0,278.0899963378906,276.7643127441406,446600,PAYC
278.3999938964844,282.6000061035156,276.78900146484375,279.489990234375,278.1576843261719,450800,PAYC
280.5400085449219,286.6400146484375,279.6099853515625,283.1199951171875,281.7703552246094,532200,PAYC
285.0,287.8299865722656,283.29998779296875,285.2900085449219,283.9300231933594,506500,PAYC
286.5,288.260009765625,284.19000244140625,285.5799865722656,284.2185974121094,414300,PAYC
289.0,297.0899963378906,287.5899963378906,295.42999267578125,294.0216979980469,589600,PAYC
295.5299987792969,297.5299987792969,285.54998779296875,286.510009765625,285.1441955566406,751300,PAYC
288.6300048828125,292.5,287.30999755859375,289.0899963378906,287.7119140625,394300,PAYC
290.7200012207031,294.3999938964844,288.67999267578125,294.30999755859375,292.90704345703125,326600,PAYC
295.7799987792969,296.5159912109375,292.3659973144531,296.239990234375,294.82781982421875,310700,PAYC
296.20001220703125,301.2099914550781,295.5419921875,299.7799987792969,298.3509521484375,463400,PAYC
303.1400146484375,306.3699951171875,300.739990234375,303.2799987792969,301.8342590332031,507600,PAYC
318.260009765625,324.0,314.0199890136719,314.8500061035156,313.3490905761719,3206400,PAYC
316.3299865722656,317.8699951171875,311.7099914550781,314.80999755859375,313.3092956542969,2162900,PAYC
307.4599914550781,314.45001220703125,307.4599914550781,312.5299987792969,311.0401611328125,9525500,PAYC
312.9800109863281,319.8999938964844,311.0050048828125,318.5899963378906,317.0712890625,1116600,PAYC
320.44000244140625,324.75,318.3999938964844,322.04998779296875,320.5147705078125,1046600,PAYC
320.79998779296875,325.760009765625,318.0,325.6199951171875,324.0677795410156,601900,PAYC
323.45001220703125,323.9989929199219,317.8699951171875,318.1600036621094,316.6433410644531,871600,PAYC
321.1199951171875,325.3800048828125,318.17999267578125,323.4700012207031,321.9280090332031,926000,PAYC
328.20001220703125,337.989990234375,327.0899963378906,337.739990234375,336.1299743652344,1048600,PAYC
341.6199951171875,342.0,318.7200012207031,322.5,320.9626159667969,1713200,PAYC
301.0799865722656,306.989990234375,288.1000061035156,290.7099914550781,289.32415771484375,2685700,PAYC
290.260009765625,299.7300109863281,290.260009765625,293.5299987792969,292.1307373046875,951500,PAYC
293.5299987792969,300.0,292.5,297.989990234375,296.5694580078125,815700,PAYC
299.4200134277344,300.6099853515625,292.07000732421875,294.760009765625,293.3548583984375,826400,PAYC
295.70001220703125,296.6050109863281,288.2799987792969,296.3599853515625,294.9472351074219,625400,PAYC
294.3599853515625,306.6099853515625,294.3599853515625,303.2900085449219,301.84423828125,698800,PAYC
304.7200012207031,315.739990234375,304.7200012207031,314.42999267578125,312.93109130859375,864600,PAYC
314.2699890136719,318.510009765625,311.6409912109375,318.1600036621094,316.6433410644531,666200,PAYC
320.7099914550781,325.989990234375,320.510009765625,324.4800109863281,322.9331970214844,859200,PAYC
324.8900146484375,325.1700134277344,305.2200012207031,310.3299865722656,308.8506164550781,942600,PAYC
308.9100036621094,309.510009765625,299.2200012207031,300.3900146484375,298.95806884765625,786500,PAYC
285.3999938964844,299.0,285.20001220703125,295.7699890136719,294.3600769042969,1046000,PAYC
299.75,301.6300048828125,287.8500061035156,288.9100036621094,287.53277587890625,907000,PAYC
288.1700134277344,300.5199890136719,287.67999267578125,291.9200134277344,290.5284423828125,672900,PAYC
280.2200012207031,293.57000732421875,277.6700134277344,281.3599853515625,280.01873779296875,861100,PAYC
270.989990234375,283.6000061035156,264.510009765625,282.6499938964844,281.3026123046875,1460800,PAYC
285.9800109863281,292.3299865722656,276.1199951171875,291.9599914550781,290.5682067871094,810900,PAYC
293.6300048828125,297.6400146484375,274.0299987792969,282.29998779296875,280.95428466796875,714400,PAYC
287.4599914550781,293.69500732421875,282.43499755859375,293.69000244140625,292.28997802734375,572900,PAYC
288.0400085449219,295.3949890136719,281.0299987792969,282.260009765625,280.91448974609375,654300,PAYC
273.989990234375,274.9700012207031,257.3299865722656,267.7099914550781,266.4338073730469,1037700,PAYC
240.02999877929688,255.85499572753906,235.7050018310547,240.83999633789062,239.69190979003906,1361300,PAYC
246.44000244140625,248.52999877929688,232.5,239.47999572753906,238.33839416503906,1203100,PAYC
234.52999877929688,238.4199981689453,216.9499969482422,220.67999267578125,219.62802124023438,1345000,PAYC
189.38999938964844,219.6300048828125,185.3699951171875,191.97999572753906,191.06483459472656,1971300,PAYC
205.6300048828125,226.64999389648438,196.58599853515625,226.6199951171875,225.53970336914062,1622000,PAYC
196.35000610351562,208.8300018310547,184.38999938964844,196.27000427246094,195.33438110351562,1298600,PAYC
200.1300048828125,216.85000610351562,190.49000549316406,216.75,215.7167510986328,1051000,PAYC
199.2100067138672,204.36000061035156,186.99000549316406,192.38999938964844,191.47288513183594,1267700,PAYC
193.49000549316406,203.8300018310547,182.0800018310547,197.5500030517578,196.60829162597656,1191800,PAYC
203.25999450683594,218.44000244140625,190.02000427246094,192.80999755859375,191.890869140625,1453700,PAYC
191.10000610351562,191.99000549316406,173.64599609375,178.94000244140625,178.0869903564453,1654500,PAYC
190.4499969482422,201.99000549316406,184.19000244140625,201.6199951171875,200.6588897705078,1349100,PAYC
202.9199981689453,218.9499969482422,192.6300048828125,210.64999389648438,209.6458282470703,1130000,PAYC
204.25,230.3800048828125,202.13999938964844,229.2100067138672,228.11737060546875,1086800,PAYC
