Date,Open,High,Low,Close,Adj Close,Volume,ticker
2020-01-02,112.97000122070312,113.0,111.66000366210938,112.81999969482422,101.64042663574219,1212400,ALL
2020-01-03,111.83999633789062,113.0999984741211,111.7699966430664,112.83000183105469,101.6494369506836,1047100,ALL
2020-01-06,112.33999633789062,113.20999908447266,112.04000091552734,113.16000366210938,101.94673919677734,1214800,ALL
2020-01-07,112.68000030517578,112.98999786376953,112.16000366210938,112.19000244140625,101.0728759765625,1641000,ALL
2020-01-08,112.55000305175781,113.83000183105469,112.44000244140625,112.5,101.3521499633789,1748900,ALL
2020-01-09,113.0,113.91000366210938,112.72000122070312,113.77999877929688,102.50530242919922,1462000,ALL
2020-01-10,113.95999908447266,114.16000366210938,113.18000030517578,113.44999694824219,102.20801544189453,1431200,ALL
2020-01-13,113.4800033569336,114.48999786376953,113.44999694824219,114.4800033569336,103.13595581054688,1526100,ALL
2020-01-14,114.3499984741211,114.38999938964844,113.44000244140625,113.80000305175781,102.52333068847656,1899100,ALL
2020-01-15,113.62000274658203,114.62999725341797,113.05000305175781,114.26000213623047,102.93772888183594,1692500,ALL
2020-01-16,114.54000091552734,116.16000366210938,114.2699966430664,116.1500015258789,104.64044189453125,1902900,ALL
2020-01-17,116.4000015258789,117.62000274658203,115.8499984741211,117.55000305175781,105.90171813964844,1725700,ALL
2020-01-21,117.1500015258789,118.2699966430664,117.05999755859375,117.80000305175781,106.12694549560547,1314100,ALL
2020-01-22,118.23999786376953,118.69000244140625,117.58999633789062,117.6500015258789,105.99180603027344,1274100,ALL
2020-01-23,117.05999755859375,118.38999938964844,116.0999984741211,118.1500015258789,106.44226837158203,1502400,ALL
2020-01-24,118.23999786376953,118.75,117.4800033569336,118.27999877929688,106.55937194824219,2152200,ALL
2020-01-27,117.0,117.93000030517578,116.55999755859375,116.58000183105469,105.0278549194336,1135200,ALL
2020-01-28,116.87999725341797,118.1500015258789,116.87999725341797,117.54000091552734,105.89271545410156,1496500,ALL
2020-01-29,118.5,118.72000122070312,117.66999816894531,118.36000061035156,106.63147735595703,1878800,ALL
2020-01-30,117.58999633789062,119.9800033569336,117.56999969482422,119.87999725341797,108.00083923339844,1289400,ALL
2020-01-31,119.20999908447266,120.11000061035156,118.2699966430664,118.54000091552734,106.79363250732422,1754500,ALL
2020-02-03,119.0,120.06999969482422,118.80000305175781,119.05000305175781,107.25308227539062,1439300,ALL
2020-02-04,120.16000366210938,121.16000366210938,119.91000366210938,119.94999694824219,108.06391143798828,1848200,ALL
2020-02-05,121.06999969482422,124.94000244140625,121.06999969482422,124.66999816894531,112.31620025634766,2718400,ALL
2020-02-06,124.7699966430664,125.43000030517578,123.79000091552734,123.88999938964844,111.61347198486328,1506700,ALL
2020-02-07,123.87000274658203,124.76000213623047,123.61000061035156,124.43000030517578,112.09998321533203,1331600,ALL
2020-02-10,124.33999633789062,124.83000183105469,123.2699966430664,123.94999694824219,111.66753387451172,1534300,ALL
2020-02-11,123.9000015258789,125.41000366210938,123.72000122070312,125.0999984741211,112.70357513427734,1739600,ALL
2020-02-12,125.25,125.25,122.94999694824219,123.77999877929688,111.51438903808594,1549100,ALL
2020-02-13,123.6500015258789,124.91999816894531,123.19999694824219,124.88999938964844,112.51438903808594,1367500,ALL
2020-02-14,124.93000030517578,125.58999633789062,124.6500015258789,125.56999969482422,113.12702178955078,1110900,ALL
2020-02-18,125.4000015258789,125.91999816894531,124.11000061035156,124.30000305175781,111.98284912109375,1663700,ALL
2020-02-19,124.5999984741211,125.0,123.8499984741211,124.26000213623047,111.94682312011719,1414600,ALL
2020-02-20,123.98999786376953,124.4800033569336,123.05000305175781,123.45999908447266,111.2260971069336,2146100,ALL
2020-02-21,123.29000091552734,124.02999877929688,122.91999816894531,123.62000274658203,111.3702392578125,1477700,ALL
2020-02-24,121.44999694824219,122.37000274658203,120.18000030517578,120.54000091552734,108.59545135498047,1745600,ALL
2020-02-25,120.75,120.80000305175781,117.13999938964844,117.30999755859375,105.68551635742188,2046400,ALL
2020-02-26,117.95999908447266,119.01000213623047,115.72000122070312,115.7300033569336,104.26209259033203,2479000,ALL
2020-02-27,114.58999633789062,115.02999877929688,109.87000274658203,109.91999816894531,99.02780151367188,2366900,ALL
2020-02-28,106.58000183105469,107.9000015258789,102.91000366210938,105.25,95.28868103027344,4179800,ALL
2020-03-02,104.58999633789062,112.76000213623047,104.58999633789062,112.66999816894531,102.00643157958984,2794600,ALL
2020-03-03,112.43000030517578,113.58000183105469,108.0,109.19999694824219,98.86483001708984,2810300,ALL
2020-03-04,111.33000183105469,114.88999938964844,110.16999816894531,114.51000213623047,103.67227935791016,1905900,ALL
2020-03-05,111.1500015258789,112.08999633789062,107.04000091552734,108.45999908447266,98.19486999511719,2459900,ALL
2020-03-06,104.20999908447266,107.70999908447266,103.91000366210938,107.13999938964844,96.99980926513672,3277500,ALL
2020-03-09,99.56999969482422,100.16000366210938,94.0199966430664,95.61000061035156,86.56105041503906,2527100,ALL
2020-03-10,99.36000061035156,100.19999694824219,94.58000183105469,99.26000213623047,89.8656005859375,2511100,ALL
2020-03-11,96.25,96.68000030517578,90.55000305175781,92.7699966430664,83.9898452758789,2662000,ALL
2020-03-12,86.04000091552734,90.37999725341797,83.72000122070312,83.80000305175781,75.86880493164062,4397700,ALL
2020-03-13,89.45999908447266,93.05999755859375,83.0999984741211,92.7699966430664,83.9898452758789,3606000,ALL
2020-03-16,78.0,90.54000091552734,78.0,84.9800033569336,76.93712615966797,3607500,ALL
2020-03-17,87.16000366210938,90.6500015258789,85.2699966430664,87.94000244140625,79.61698150634766,2917900,ALL
2020-03-18,81.63999938964844,83.75,64.12999725341797,75.55000305175781,68.39962768554688,3617400,ALL
2020-03-19,74.12999725341797,78.5199966430664,70.7300033569336,74.69000244140625,67.62102508544922,2475800,ALL
2020-03-20,76.36000061035156,78.66000366210938,70.76000213623047,73.87000274658203,66.87862396240234,3911100,ALL
2020-03-23,71.73999786376953,75.91999816894531,68.86000061035156,73.2300033569336,66.29918670654297,3181100,ALL
2020-03-24,78.0999984741211,79.18000030517578,75.69999694824219,77.91999816894531,70.54529571533203,3197500,ALL
2020-03-25,77.86000061035156,86.70999908447266,75.01000213623047,83.0,75.14452362060547,3539600,ALL
2020-03-26,83.11000061035156,90.51000213623047,83.01000213623047,89.5,81.02934265136719,3563500,ALL
2020-03-27,86.11000061035156,92.58999633789062,85.12999725341797,88.45999908447266,80.08777618408203,2662500,ALL
2020-03-30,88.27999877929688,95.29000091552734,85.4800033569336,94.63999938964844,85.68286895751953,2745400,ALL
2020-03-31,93.4000015258789,94.19000244140625,91.20999908447266,91.7300033569336,83.04828643798828,2534900,ALL
